Country_Name,Medal,Medal_Count
United States,Gold,137
United States,Silver,52
United States,Bronze,67
Germany,Gold,47
Germany,Silver,43
Germany,Bronze,67
Great Britain,Gold,64
Great Britain,Silver,55
Great Britain,Bronze,26
Russia,Gold,50
Russia,Silver,28
Russia,Bronze,35
China,Gold,44
China,Silver,30
China,Bronze,35
France,Gold,20
France,Silver,55
France,Bronze,21
Australia,Gold,23
Australia,Silver,34
Australia,Bronze,25
Italy,Gold,8
Italy,Silver,38
Italy,Bronze,24
Canada,Gold,4
Canada,Silver,4
Canada,Bronze,61
Japan,Gold,17
Japan,Silver,13
Japan,Bronze,34
