Country_Code,Country_Name,Olympic_ID,Olympic_Year,Total_No_Of_Medals,Total_No_Of_Gold_Medals,Total_No_Of_Silver_Medals,Total_No_Of_Bronze_Medals,Total_No_Of_Players_Participated,No_Of_Women_Players_Participated,No_Of_Men_Players_Participated,Male_Female_Ratio,No_Of_Players_Won,No_Of_Players_Lose
AUT,Austria-1,5,2016,0,0,0,0,2,0,2,0.0,0,2
CPV,Cape Verde,5,2016,0,0,0,0,5,3,2,0.6666666666666666,0,5
BRA,Brazil,4,2014,0,0,0,0,17,10,7,0.7,0,17
PAK,Pakistan,3,2012,0,0,0,0,21,2,19,9.5,0,21
CAY,Cayman Islands,3,2012,0,0,0,0,7,0,7,0.0,0,7
HAI,Haiti,3,2012,0,0,0,0,5,2,3,1.5,0,5
ISV,United States Virgin Islands,3,2012,0,0,0,0,9,5,4,0.8,0,9
SLE,Sierra Leone,3,2012,0,0,0,0,2,1,1,1.0,0,2
LES,Lesotho,3,2012,0,0,0,0,4,2,2,1.0,0,4
PUR,Puerto Rico,5,2016,1,1,0,0,41,28,13,0.4642857142857143,1,40
SKN,Saint Kitts and Nevis,5,2016,0,0,0,0,9,1,8,8.0,0,9
ZIM,Zimbabwe,5,2016,0,0,0,0,31,22,9,0.4090909090909091,0,31
SOL,Solomon Islands,5,2016,0,0,0,0,3,2,1,0.5,0,3
ASA,American Samoa,3,2012,0,0,0,0,4,1,3,3.0,0,4
FRA,France,2,2010,14,2,6,6,192,69,123,1.7826086956521738,14,178
THA,Thailand,5,2016,6,2,2,2,58,30,28,0.9333333333333333,6,52
IVB,British Virgin Islands,5,2016,0,0,0,0,4,3,1,0.3333333333333333,0,4
LUX,Luxembourg,5,2016,0,0,0,0,15,7,8,1.1428571428571428,0,15
POL,Poland-1,5,2016,0,0,0,0,2,0,2,0.0,0,2
KOR,South Korea-2,4,2014,0,0,0,0,6,0,6,0.0,0,6
HON,Honduras,5,2016,0,0,0,0,23,1,22,22.0,0,23
ITA,Italy-1,5,2016,2,0,2,0,2,0,2,0.0,2,0
CZE,Czech Republic,3,2012,12,4,2,6,147,70,77,1.1,12,135
BAN,Bangladesh,3,2012,0,0,0,0,7,1,6,6.0,0,7
RUS,Russia,5,2016,113,50,28,35,398,199,199,1.0,113,285
SLO,Slovenia,5,2016,4,1,2,1,70,29,41,1.4137931034482758,4,66
ESP,Spain-2,5,2016,2,2,0,0,4,2,2,1.0,2,2
AUT,Austria-2,4,2014,0,0,0,0,2,0,2,0.0,0,2
BOT,Botswana,3,2012,1,0,1,0,4,1,3,3.0,1,3
UAE,United Arab Emirates,5,2016,1,0,0,1,12,3,9,3.0,1,11
NZL,New Zealand,4,2014,0,0,0,0,18,8,10,1.25,0,18
ZIM,Zimbabwe,4,2014,0,0,0,0,2,0,2,0.0,0,2
ESA,El Salvador,3,2012,0,0,0,0,11,6,5,0.8333333333333334,0,11
GBR,Great Britain-1,2,2010,0,0,0,0,6,3,3,1.0,0,6
BUL,Bulgaria,5,2016,7,0,1,6,58,25,33,1.32,7,51
BIH,Bosnia and Herzegovina,3,2012,0,0,0,0,8,2,6,3.0,0,8
LIE,Liechtenstein,3,2012,0,0,0,0,4,3,1,0.3333333333333333,0,4
CZE,Czech Republic,5,2016,13,1,2,10,131,52,79,1.5192307692307692,13,118
ZAM,Zambia,5,2016,0,0,0,0,7,2,5,2.5,0,7
IVB,British Virgin Islands,4,2014,0,0,0,0,1,0,1,0.0,0,1
ALB,Albania,4,2014,0,0,0,0,2,2,0,0.0,0,2
ARU,Aruba,3,2012,0,0,0,0,4,1,3,3.0,0,4
MKD,Macedonia,3,2012,0,0,0,0,4,2,2,1.0,0,4
CRO,Croatia,5,2016,24,7,15,2,93,24,69,2.875,24,69
UKR,Ukraine,4,2014,5,4,0,1,101,56,45,0.8035714285714286,5,96
GER,Germany-1,2,2010,8,2,4,2,12,3,9,3.0,8,4
NEP,Nepal,5,2016,0,0,0,0,7,4,3,0.75,0,7
CZE,Czech Republic-1,2,2010,0,0,0,0,4,0,4,0.0,0,4
MEX,Mexico,2,2010,0,0,0,0,2,0,2,0.0,0,2
RSA,South Africa,3,2012,9,6,2,1,145,61,84,1.3770491803278688,9,136
BAR,Barbados,3,2012,0,0,0,0,8,0,8,0.0,0,8
