Event_ID,Event_Name,Sport_ID
1,Alpine Skiing Men's Combined,1
2,Alpine Skiing Men's Downhill,1
3,Alpine Skiing Men's Giant Slalom,1
4,Alpine Skiing Men's Slalom,1
5,Alpine Skiing Men's Super G,1
6,Alpine Skiing Women's Combined,1
7,Alpine Skiing Women's Downhill,1
8,Alpine Skiing Women's Giant Slalom,1
9,Alpine Skiing Women's Slalom,1
10,Alpine Skiing Women's Super G,1
11,Archery Men's Individual,2
12,Archery Men's Team,2
13,Archery Women's Individual,2
14,Archery Women's Team,2
15,"Athletics Men's 1,500 metres",3
16,"Athletics Men's 10,000 metres",3
17,Athletics Men's 100 metres,3
18,Athletics Men's 110 metres Hurdles,3
19,Athletics Men's 20 kilometres Walk,3
20,Athletics Men's 200 metres,3
21,"Athletics Men's 3,000 metres Steeplechase",3
22,Athletics Men's 4 x 100 metres Relay,3
23,Athletics Men's 4 x 400 metres Relay,3
24,Athletics Men's 400 metres,3
25,Athletics Men's 400 metres Hurdles,3
26,"Athletics Men's 5,000 metres",3
27,Athletics Men's 50 kilometres Walk,3
28,Athletics Men's 800 metres,3
29,Athletics Men's Decathlon,3
30,Athletics Men's Discus Throw,3
31,Athletics Men's Hammer Throw,3
32,Athletics Men's High Jump,3
33,Athletics Men's Javelin Throw,3
34,Athletics Men's Long Jump,3
35,Athletics Men's Marathon,3
36,Athletics Men's Pole Vault,3
37,Athletics Men's Shot Put,3
38,Athletics Men's Triple Jump,3
39,"Athletics Women's 1,500 metres",3
40,"Athletics Women's 10,000 metres",3
41,Athletics Women's 100 metres,3
42,Athletics Women's 100 metres Hurdles,3
43,Athletics Women's 20 kilometres Walk,3
44,Athletics Women's 200 metres,3
45,"Athletics Women's 3,000 metres Steeplechase",3
46,Athletics Women's 4 x 100 metres Relay,3
47,Athletics Women's 4 x 400 metres Relay,3
48,Athletics Women's 400 metres,3
49,Athletics Women's 400 metres Hurdles,3
50,"Athletics Women's 5,000 metres",3
51,Athletics Women's 800 metres,3
52,Athletics Women's Discus Throw,3
53,Athletics Women's Hammer Throw,3
54,Athletics Women's Heptathlon,3
55,Athletics Women's High Jump,3
56,Athletics Women's Javelin Throw,3
57,Athletics Women's Long Jump,3
58,Athletics Women's Marathon,3
59,Athletics Women's Pole Vault,3
60,Athletics Women's Shot Put,3
61,Athletics Women's Triple Jump,3
62,Badminton Men's Doubles,4
63,Badminton Men's Singles,4
64,Badminton Mixed Doubles,4
65,Badminton Women's Doubles,4
66,Badminton Women's Singles,4
67,Baseball Men's Baseball,5
68,Basketball Men's Basketball,6
69,Basketball Women's Basketball,6
70,Beach Volleyball Men's Beach Volleyball,7
71,Beach Volleyball Women's Beach Volleyball,7
72,Biathlon Men's 10 kilometres Sprint,8
73,Biathlon Men's 12.5 kilometres Pursuit,8
74,Biathlon Men's 15 kilometres Mass Start,8
75,Biathlon Men's 20 kilometres,8
76,Biathlon Men's 4 x 7.5 kilometres Relay,8
77,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,8
78,Biathlon Women's 10 kilometres Pursuit,8
79,Biathlon Women's 12.5 kilometres Mass Start,8
80,Biathlon Women's 15 kilometres,8
81,Biathlon Women's 4 x 6 kilometres Relay,8
82,Biathlon Women's 7.5 kilometres Sprint,8
83,Bobsleigh Men's Four,9
84,Bobsleigh Men's Two,9
85,Bobsleigh Women's Two,9
86,Boxing Men's Bantamweight,10
87,Boxing Men's Featherweight,10
88,Boxing Men's Flyweight,10
89,Boxing Men's Heavyweight,10
90,Boxing Men's Light-Flyweight,10
91,Boxing Men's Light-Heavyweight,10
92,Boxing Men's Light-Welterweight,10
93,Boxing Men's Lightweight,10
94,Boxing Men's Middleweight,10
95,Boxing Men's Super-Heavyweight,10
96,Boxing Men's Welterweight,10
97,Boxing Women's Flyweight,10
98,Boxing Women's Lightweight,10
99,Boxing Women's Middleweight,10
100,"Canoeing Men's Canadian Doubles, 1,000 metres",11
101,"Canoeing Men's Canadian Doubles, 500 metres",11
102,"Canoeing Men's Canadian Doubles, Slalom",11
103,"Canoeing Men's Canadian Singles, 1,000 metres",11
104,"Canoeing Men's Canadian Singles, 200 metres",11
105,"Canoeing Men's Canadian Singles, 500 metres",11
106,"Canoeing Men's Canadian Singles, Slalom",11
107,"Canoeing Men's Kayak Doubles, 1,000 metres",11
108,"Canoeing Men's Kayak Doubles, 200 metres",11
109,"Canoeing Men's Kayak Doubles, 500 metres",11
110,"Canoeing Men's Kayak Fours, 1,000 metres",11
111,"Canoeing Men's Kayak Singles, 1,000 metres",11
112,"Canoeing Men's Kayak Singles, 200 metres",11
113,"Canoeing Men's Kayak Singles, 500 metres",11
114,"Canoeing Men's Kayak Singles, Slalom",11
115,"Canoeing Women's Kayak Doubles, 500 metres",11
116,"Canoeing Women's Kayak Fours, 500 metres",11
117,"Canoeing Women's Kayak Singles, 200 metres",11
118,"Canoeing Women's Kayak Singles, 500 metres",11
119,"Canoeing Women's Kayak Singles, Slalom",11
120,Cross Country Skiing Men's 15 kilometres,12
121,Cross Country Skiing Men's 30 km Skiathlon,12
122,Cross Country Skiing Men's 4 x 10 kilometres Relay,12
123,Cross Country Skiing Men's 50 kilometres,12
124,Cross Country Skiing Men's Sprint,12
125,Cross Country Skiing Men's Team Sprint,12
126,Cross Country Skiing Women's 10 kilometres,12
127,Cross Country Skiing Women's 15 km Skiathlon,12
128,Cross Country Skiing Women's 30 kilometres,12
129,Cross Country Skiing Women's 4 x 5 kilometres Relay,12
130,Cross Country Skiing Women's Sprint,12
131,Cross Country Skiing Women's Team Sprint,12
132,Curling Men's Curling,13
133,Curling Women's Curling,13
134,Cycling Men's BMX,14
135,"Cycling Men's Individual Pursuit, 4,000 metres",14
136,Cycling Men's Individual Time Trial,14
137,Cycling Men's Keirin,14
138,Cycling Men's Madison,14
139,"Cycling Men's Mountainbike, Cross-Country",14
140,Cycling Men's Omnium,14
